,Subject,,25-6,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,03:09:17.542,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:16.980,Input,1,On1A1,,
5,0:16.980,Exit,1,,1,
6,0:16.980,Entry,2,,,
7,0:16.985,Input,34,Off1A2,,
8,0:20.465,Input,2,On1A2,,
9,0:20.465,Exit,2,,2,
10,0:20.465,Entry,1,,,
11,0:20.480,Input,33,Off1A1,,
12,1:12.250,Input,1,On1A1,,
13,1:12.250,Exit,1,,1,
14,1:12.250,Entry,2,,,
15,1:12.255,Input,34,Off1A2,,
16,1:12.420,Input,2,On1A2,,
17,1:12.420,Exit,2,,2,
18,1:12.420,Entry,1,,,
19,1:12.435,Input,33,Off1A1,,
20,2:38.465,Input,1,On1A1,,
21,2:38.465,Exit,1,,1,
22,2:38.465,Entry,2,,,
23,2:38.470,Input,34,Off1A2,,
24,2:38.875,Input,2,On1A2,,
25,2:38.875,Exit,2,,2,
26,2:38.875,Entry,1,,,
27,2:38.885,Input,33,Off1A1,,
28,2:42.095,Input,1,On1A1,,
29,2:42.095,Exit,1,,1,
30,2:42.095,Entry,2,,,
31,2:42.100,Input,34,Off1A2,,
32,2:42.170,Input,2,On1A2,,
33,2:42.170,Exit,2,,2,
34,2:42.170,Entry,1,,,
35,2:42.180,Input,33,Off1A1,,
36,5:00.005,Exit,1,,Time,
37,5:00.005,Finish,,,,
